Rank,Country_old,Country ,Working_Age_Pop_Using_AI
1,🇺🇸 U.S.,U.S.,28.3
2,🇨🇳 China,China,16.3
3,🇸🇬 Singapore,Singapore,60.9
4,🇬🇧 UK,UK,38.9
5,🇫🇷 France,France,44
6,🇰🇷 South Korea,South Korea,30.7
7,🇩🇪 Germany,Germany,28.6
8,🇨🇦 Canada,Canada,35
9,🇮🇱 Israel,Israel,36.1
10,🇮🇳 India,India,15.7
11,🇯🇵 Japan,Japan,19.1
12,🇨🇭 Switzerland,Switzerland,34.8
13,🇳🇱 Netherlands,Netherlands,38.9
14,🇸🇦 Saudi Arabia,Saudi Arabia,26.2
15,🇫🇮 Finland,Finland,27.3
17,🇦🇺 Australia,Australia,36.9
18,🇪🇸 Spain,Spain,41.8
20,🇦🇪 UAE,UAE,64
21,🇹🇼 Taiwan,Taiwan,28.4
22,🇩🇰 Denmark,Denmark,28.7
23,🇮🇪 Ireland,Ireland,44.6
24,🇮🇹 Italy,Italy,27.8
25,🇸🇪 Sweden,Sweden,33.3
26,🇳🇴 Norway,Norway,46.4
27,🇧🇪 Belgium,Belgium,36
28,🇦🇹 Austria,Austria,31.4
29,🇵🇹 Portugal,Portugal,24.2
30,🇧🇷 Brazil,Brazil,17.1
31,🇷🇺 Russia,Russia,8
32,🇹🇷 Türkiye,Türkiye,14.6
35,🇨🇿 Czechia,Czechia,27.8
37,🇵🇱 Poland,Poland,28.5
38,🇸🇮 Slovenia,Slovenia,26.5
39,🇨🇱 Chile,Chile,20.8
40,🇲🇾 Malaysia,Malaysia,19.7
41,🇭🇺 Hungary,Hungary,29.8
42,🇬🇷 Greece,Greece,19.1
43,🇹🇭 Thailand,Thailand,10.7
44,🇭🇷 Croatia,Croatia,23.7
45,🇲🇽 Mexico,Mexico,17.8
46,🇱🇹 Lithuania,Lithuania,22.4
47,🇦🇷 Argentina,Argentina,19.6
48,🇳🇿 New Zealand,New Zealand,40.5
49,🇮🇩 Indonesia,Indonesia,12.7
50,🇷🇴 Romania,Romania,16.2
51,🇨🇴 Colombia,Colombia,22
52,🇪🇬 Egypt,Egypt,13.4
53,🇧🇬 Bulgaria,Bulgaria,27.3
54,🇶🇦 Qatar,Qatar,38.3
55,🇺🇦 Ukraine,Ukraine,9
56,🇺🇾 Uruguay,Uruguay,22.5
57,🇷🇸 Serbia,Serbia,21.5
58,🇻🇳 Vietnam,Vietnam,23.5
60,🇮🇷 Iran,Iran,10.7
61,🇵🇪 Peru,Peru,14.7
63,🇯🇴 Jordan,Jordan,27
64,🇴🇲 Oman,Oman,24.2
66,🇦🇲 Armenia,Armenia,6.6
67,🇸🇰 Slovakia,Slovakia,23.8
68,🇵🇭 Philippines,Philippines,18.3
69,🇷🇼 Rwanda,Rwanda,6.3
70,🇿🇦 South Africa,South Africa,21.1
72,🇹🇳 Tunisia,Tunisia,12.7
73,🇬🇭 Ghana,Ghana,9.3
74,🇳🇬 Nigeria,Nigeria,9.3
75,🇧🇯 Benin,Benin,9.3
76,🇧🇩 Bangladesh,Bangladesh,7.1
77,🇵🇰 Pakistan,Pakistan,10.3
78,🇮🇶 Iraq,Iraq,11.2
79,🇦🇿 Azerbaijan,Azerbaijan,15.5
80,🇲🇦 Morocco,Morocco,10.9
81,🇩🇿 Algeria,Algeria,12
82,🇰🇪 Kenya,Kenya,8.1
83,🇱🇰 Sri Lanka,Sri Lanka,6.6
84,🇪🇹 Ethiopia,Ethiopia,6.8
,🇨🇷 Costa Rica,Costa Rica,26.5
,🇱🇧 Lebanon,Lebanon,25.7
,🇩🇴 Dominican Republic,Dominican Republic,22.7
,🇯🇲 Jamaica,Jamaica,22.1
,🇵🇦 Panama,Panama,21.5
,🇧🇦 Bosnia and,Bosnia and,19.5
,Herzegovina,govina,
,🇰🇼 Kuwait,Kuwait,19.1
,🇬🇪 Georgia,Georgia,18.2
,🇪🇨 Ecuador,Ecuador,17.7
,🇲🇩 Moldova,Moldova,17
,🇦🇱 Albania,Albania,16.5
,🇸🇻 El Salvador,El Salvador,16.2
,🇬🇹 Guatemala,Guatemala,14.8
,🇲🇳 Mongolia,Mongolia,14.3
,🇳🇦 Namibia,Namibia,13.8
,🇱🇾 Libya,Libya,13.7
