Country_old,Country,Number of SuperComputers
🇺🇸 United States,United States,171
🇯🇵 Japan,Japan,43
🇩🇪 Germany,Germany,40
🇨🇳 China,China,40
🇫🇷 France,France,23
🇨🇦 Canada,Canada,19
🇮🇹 Italy,Italy,18
🇰🇷 South Korea,South Korea,15
🇹🇼 Taiwan,Taiwan,10
🇧🇷 Brazil,Brazil,10
🇳🇴 Norway,Norway,9
🇬🇧 United Kingdom,United Kingdom,9
🇸🇪 Sweden,Sweden,8
🇵🇱 Poland,Poland,8
🇳🇱 Netherlands,Netherlands,7
🇸🇦 Saudi Arabia,Saudi Arabia,7
🇮🇳 India,India,6
🇸🇬 Singapore,Singapore,5
🇦🇪 United Arab Emirates,United Arab Emirates,5
🇷🇺 Russia,Russia,5
🇦🇺 Australia,Australia,4
🇫🇮 Finland,Finland,3
🇨🇭 Switzerland,Switzerland,3
🇮🇱 Israel,Israel,3
🇨🇿 Czechia,Czechia,3
🇪🇸 Spain,Spain,3
🇸🇮 Slovenia,Slovenia,2
🇮🇪 Ireland,Ireland,2
🇦🇹 Austria,Austria,2
🇰🇿 Kazakhstan,Kazakhstan,2
🇹🇭 Thailand,Thailand,2
🇹🇷 Turkey,Turkey,2
🇮🇸 Iceland,Iceland,1
🇱🇺 Luxembourg,Luxembourg,1
🇸🇰 Slovakia,Slovakia,1
🇩🇰 Denmark,Denmark,1
🇧🇬 Bulgaria,Bulgaria,1
🇭🇺 Hungary,Hungary,1
🇵🇹 Portugal,Portugal,1
🇧🇪 Belgium,Belgium,1
🇲🇦 Morocco,Morocco,1
🇦🇷 Argentina,Argentina,1
🇻🇳 Vietnam,Vietnam,1
