ai_concept,citations,Country/territory,Country/territory_label,impact_level,pub_type,year
All AI research,42.90013437009574,USA,United States,All works,All publication types,2000
All AI research,63.25482703000715,USA,United States,All works,All publication types,2001
All AI research,48.96228136318025,USA,United States,All works,All publication types,2002
All AI research,42.82242737784066,USA,United States,All works,All publication types,2003
All AI research,40.71956325111034,USA,United States,All works,All publication types,2004
All AI research,37.218557552243084,USA,United States,All works,All publication types,2005
All AI research,28.92494018370393,USA,United States,All works,All publication types,2006
All AI research,30.35141492413396,USA,United States,All works,All publication types,2007
All AI research,33.02143899634542,USA,United States,All works,All publication types,2008
All AI research,32.37418644483682,USA,United States,All works,All publication types,2009
All AI research,28.438851929089267,USA,United States,All works,All publication types,2010
All AI research,29.671821131587393,USA,United States,All works,All publication types,2011
All AI research,27.809561561385095,USA,United States,All works,All publication types,2012
All AI research,34.58494786794185,USA,United States,All works,All publication types,2013
All AI research,33.87456385663295,USA,United States,All works,All publication types,2014
All AI research,39.629472582020924,USA,United States,All works,All publication types,2015
All AI research,24.961139943488256,USA,United States,All works,All publication types,2016
All AI research,31.377626074462,USA,United States,All works,All publication types,2017
All AI research,31.251138033828102,USA,United States,All works,All publication types,2018
All AI research,27.327342255653146,USA,United States,All works,All publication types,2019
All AI research,22.76159850153646,USA,United States,All works,All publication types,2020
All AI research,19.36953061592836,USA,United States,All works,All publication types,2021
All AI research,16.284906378913618,USA,United States,All works,All publication types,2022
All AI research,16.348676841280724,USA,United States,All works,All publication types,2023
All AI research,22.791081329394764,USA,United States,All works,All publication types,2024
All AI research,14.895993559855002,USA,United States,All works,All publication types,2025
All AI research,10.677083309716787,USA,United States,All works,All publication types,2026
All AI research,1.5078189533677888,CHN,China (People's Republic of),All works,All publication types,2000
All AI research,1.1893968295702622,CHN,China (People's Republic of),All works,All publication types,2001
All AI research,2.6695347096651836,CHN,China (People's Republic of),All works,All publication types,2002
All AI research,3.0910311092068286,CHN,China (People's Republic of),All works,All publication types,2003
All AI research,5.62627920579117,CHN,China (People's Republic of),All works,All publication types,2004
All AI research,5.940753606896136,CHN,China (People's Republic of),All works,All publication types,2005
All AI research,6.48974039596471,CHN,China (People's Republic of),All works,All publication types,2006
All AI research,7.297407525679488,CHN,China (People's Republic of),All works,All publication types,2007
All AI research,7.987804547142574,CHN,China (People's Republic of),All works,All publication types,2008
All AI research,8.125998673555856,CHN,China (People's Republic of),All works,All publication types,2009
All AI research,7.66966178464295,CHN,China (People's Republic of),All works,All publication types,2010
All AI research,8.905395200892592,CHN,China (People's Republic of),All works,All publication types,2011
All AI research,7.466597833132459,CHN,China (People's Republic of),All works,All publication types,2012
All AI research,9.819489842870032,CHN,China (People's Republic of),All works,All publication types,2013
All AI research,9.216764896362061,CHN,China (People's Republic of),All works,All publication types,2014
All AI research,12.377682848066192,CHN,China (People's Republic of),All works,All publication types,2015
All AI research,10.74788243784779,CHN,China (People's Republic of),All works,All publication types,2016
All AI research,13.895637227568997,CHN,China (People's Republic of),All works,All publication types,2017
All AI research,19.184739587616313,CHN,China (People's Republic of),All works,All publication types,2018
All AI research,23.729292343273503,CHN,China (People's Republic of),All works,All publication types,2019
All AI research,26.261992952073808,CHN,China (People's Republic of),All works,All publication types,2020
All AI research,28.654585614538707,CHN,China (People's Republic of),All works,All publication types,2021
All AI research,30.542741418308978,CHN,China (People's Republic of),All works,All publication types,2022
All AI research,26.737035840420248,CHN,China (People's Republic of),All works,All publication types,2023
All AI research,31.006869812273905,CHN,China (People's Republic of),All works,All publication types,2024
All AI research,32.07057002765927,CHN,China (People's Republic of),All works,All publication types,2025
All AI research,25.474837428111513,CHN,China (People's Republic of),All works,All publication types,2026
All AI research,12.52791393159506,GBR,United Kingdom,All works,All publication types,2000
All AI research,6.281604832259923,GBR,United Kingdom,All works,All publication types,2001
All AI research,6.437530421620616,GBR,United Kingdom,All works,All publication types,2002
All AI research,8.225491362562003,GBR,United Kingdom,All works,All publication types,2003
All AI research,6.621590231535857,GBR,United Kingdom,All works,All publication types,2004
All AI research,7.568993799821385,GBR,United Kingdom,All works,All publication types,2005
All AI research,7.424563952690513,GBR,United Kingdom,All works,All publication types,2006
All AI research,8.96129848551677,GBR,United Kingdom,All works,All publication types,2007
All AI research,7.044390438744242,GBR,United Kingdom,All works,All publication types,2008
All AI research,9.635130144432672,GBR,United Kingdom,All works,All publication types,2009
All AI research,6.0122197871852805,GBR,United Kingdom,All works,All publication types,2010
All AI research,6.064596770444401,GBR,United Kingdom,All works,All publication types,2011
All AI research,5.695537711142418,GBR,United Kingdom,All works,All publication types,2012
All AI research,5.3602759151689945,GBR,United Kingdom,All works,All publication types,2013
All AI research,5.250377462568022,GBR,United Kingdom,All works,All publication types,2014
All AI research,7.246676537256576,GBR,United Kingdom,All works,All publication types,2015
All AI research,28.3919142007602,GBR,United Kingdom,All works,All publication types,2016
All AI research,6.856982308585723,GBR,United Kingdom,All works,All publication types,2017
All AI research,5.3364589786531935,GBR,United Kingdom,All works,All publication types,2018
All AI research,4.781890376638131,GBR,United Kingdom,All works,All publication types,2019
All AI research,4.252641282498242,GBR,United Kingdom,All works,All publication types,2020
All AI research,4.2937732726842235,GBR,United Kingdom,All works,All publication types,2021
All AI research,3.44552459558135,GBR,United Kingdom,All works,All publication types,2022
All AI research,3.2847829235658565,GBR,United Kingdom,All works,All publication types,2023
All AI research,3.277264325442788,GBR,United Kingdom,All works,All publication types,2024
All AI research,3.211190569393821,GBR,United Kingdom,All works,All publication types,2025
All AI research,8.685007066813398,GBR,United Kingdom,All works,All publication types,2026
All AI research,5.590222025308425,DEU,Germany,All works,All publication types,2000
All AI research,3.684170412972035,DEU,Germany,All works,All publication types,2001
All AI research,4.9989696661202165,DEU,Germany,All works,All publication types,2002
All AI research,5.468364082919542,DEU,Germany,All works,All publication types,2003
All AI research,4.568084443204064,DEU,Germany,All works,All publication types,2004
All AI research,8.303216044954713,DEU,Germany,All works,All publication types,2005
All AI research,4.777925101006843,DEU,Germany,All works,All publication types,2006
All AI research,5.568652145704922,DEU,Germany,All works,All publication types,2007
All AI research,5.4308706879018915,DEU,Germany,All works,All publication types,2008
All AI research,6.015365230592502,DEU,Germany,All works,All publication types,2009
All AI research,6.08954849939775,DEU,Germany,All works,All publication types,2010
All AI research,5.636962517976131,DEU,Germany,All works,All publication types,2011
All AI research,6.552120524251856,DEU,Germany,All works,All publication types,2012
All AI research,5.113656303113759,DEU,Germany,All works,All publication types,2013
All AI research,7.454396846858462,DEU,Germany,All works,All publication types,2014
All AI research,4.059224488545768,DEU,Germany,All works,All publication types,2015
All AI research,3.3689902973149866,DEU,Germany,All works,All publication types,2016
All AI research,3.3577872056042586,DEU,Germany,All works,All publication types,2017
All AI research,3.188129170839633,DEU,Germany,All works,All publication types,2018
All AI research,3.613282727452896,DEU,Germany,All works,All publication types,2019
All AI research,2.713806740477165,DEU,Germany,All works,All publication types,2020
All AI research,3.047758686284274,DEU,Germany,All works,All publication types,2021
All AI research,3.436873374167522,DEU,Germany,All works,All publication types,2022
All AI research,4.152852859111187,DEU,Germany,All works,All publication types,2023
All AI research,2.5713029022554634,DEU,Germany,All works,All publication types,2024
All AI research,2.5040280977109073,DEU,Germany,All works,All publication types,2025
All AI research,13.773148119408114,DEU,Germany,All works,All publication types,2026
All AI research,3.587779757472969,CAN,Canada,All works,All publication types,2000
All AI research,2.604460152763183,CAN,Canada,All works,All publication types,2001
All AI research,3.100501784910233,CAN,Canada,All works,All publication types,2002
All AI research,4.349887069646275,CAN,Canada,All works,All publication types,2003
All AI research,3.374989086037439,CAN,Canada,All works,All publication types,2004
All AI research,3.1870545645188404,CAN,Canada,All works,All publication types,2005
All AI research,10.300885705047062,CAN,Canada,All works,All publication types,2006
All AI research,4.818267213555899,CAN,Canada,All works,All publication types,2007
All AI research,4.6378660595719445,CAN,Canada,All works,All publication types,2008
All AI research,4.709173189321151,CAN,Canada,All works,All publication types,2009
All AI research,9.668693856348744,CAN,Canada,All works,All publication types,2010
All AI research,4.392629443083221,CAN,Canada,All works,All publication types,2011
All AI research,10.673885104106548,CAN,Canada,All works,All publication types,2012
All AI research,6.660978768726571,CAN,Canada,All works,All publication types,2013
All AI research,10.047188635597763,CAN,Canada,All works,All publication types,2014
All AI research,8.025850722162657,CAN,Canada,All works,All publication types,2015
All AI research,2.256058537919145,CAN,Canada,All works,All publication types,2016
All AI research,6.157225410015522,CAN,Canada,All works,All publication types,2017
All AI research,2.501366268543325,CAN,Canada,All works,All publication types,2018
All AI research,2.133331628533163,CAN,Canada,All works,All publication types,2019
All AI research,2.1798623800659254,CAN,Canada,All works,All publication types,2020
All AI research,2.110016153757756,CAN,Canada,All works,All publication types,2021
All AI research,1.9405541994750282,CAN,Canada,All works,All publication types,2022
All AI research,1.5989330732581637,CAN,Canada,All works,All publication types,2023
All AI research,1.545804613339889,CAN,Canada,All works,All publication types,2024
All AI research,1.571811559720156,CAN,Canada,All works,All publication types,2025
All AI research,1.1739418505491266,CAN,Canada,All works,All publication types,2026
All AI research,3.7156519380445254,FRA,France,All works,All publication types,2000
All AI research,1.586485481388417,FRA,France,All works,All publication types,2001
All AI research,2.5521326656958028,FRA,France,All works,All publication types,2002
All AI research,2.85028318923779,FRA,France,All works,All publication types,2003
All AI research,2.809379089779626,FRA,France,All works,All publication types,2004
All AI research,3.086157686750196,FRA,France,All works,All publication types,2005
All AI research,2.970088131994503,FRA,France,All works,All publication types,2006
All AI research,3.5178310447364765,FRA,France,All works,All publication types,2007
All AI research,3.0695362526464636,FRA,France,All works,All publication types,2008
All AI research,3.1104713608804846,FRA,France,All works,All publication types,2009
All AI research,3.0532452745335106,FRA,France,All works,All publication types,2010
All AI research,3.210851473622985,FRA,France,All works,All publication types,2011
All AI research,4.046785358715349,FRA,France,All works,All publication types,2012
All AI research,2.606587516279603,FRA,France,All works,All publication types,2013
All AI research,2.661422558972865,FRA,France,All works,All publication types,2014
All AI research,2.2655533239501113,FRA,France,All works,All publication types,2015
All AI research,1.5346159103793164,FRA,France,All works,All publication types,2016
All AI research,2.074727576626008,FRA,France,All works,All publication types,2017
All AI research,2.052462619835564,FRA,France,All works,All publication types,2018
All AI research,1.7830507991329265,FRA,France,All works,All publication types,2019
All AI research,1.4791656841544139,FRA,France,All works,All publication types,2020
All AI research,1.3441272579575614,FRA,France,All works,All publication types,2021
All AI research,1.4356927235788102,FRA,France,All works,All publication types,2022
All AI research,2.473935530019299,FRA,France,All works,All publication types,2023
All AI research,1.01805762211088,FRA,France,All works,All publication types,2024
All AI research,9.739283348991103,FRA,France,All works,All publication types,2025
All AI research,2.2727272772251372,FRA,France,All works,All publication types,2026
All AI research,3.83826839820096,JPN,Japan,All works,All publication types,2000
All AI research,3.202041201319746,JPN,Japan,All works,All publication types,2001
All AI research,5.551472667020945,JPN,Japan,All works,All publication types,2002
All AI research,4.622853381430689,JPN,Japan,All works,All publication types,2003
All AI research,4.216958227117053,JPN,Japan,All works,All publication types,2004
All AI research,3.9557068580151458,JPN,Japan,All works,All publication types,2005
All AI research,3.3102994729451938,JPN,Japan,All works,All publication types,2006
