population,developers,Country,year,quarter
"333,287,557",9763122,United States,2020,1
"1,412,175,000",5885036,China,2020,1
"1,417,173,173",4194257,India,2020,1
"66,971,411",1635516,United Kingdom,2020,1
"215,313,498",1400662,Brazil,2020,1
"84,079,811",1319588,Germany,2020,1
"143,555,736",1283298,Russia,2020,1
"38,929,902",1134715,Canada,2020,1
"125,124,989",1128302,Japan,2020,1
"67,749,632",1067323,France,2020,1
"275,501,339",880038,Indonesia,2020,1
"51,628,117",761690,South Korea,2020,1
"25,978,935",678548,Australia,2020,1
"47,615,034",650592,Spain,2020,1
"38,000,000",568562,Ukraine,2020,1
"17,942,942",565841,Netherlands,2020,1
"127,504,125",537945,Mexico,2020,1
"37,561,599",531465,Poland,2020,1
"98,186,856",505532,Vietnam,2020,1
"85,341,241",480618,Turkey,2020,1
"58,856,847",468484,Italy,2020,1
"23,412,899",414767,Taiwan,2020,1
"115,559,009",413692,Philippines,2020,1
"7,346,100",401680,Hong Kong,2020,1
"10,486,941",321505,Sweden,2020,1
"235,824,862",317224,Pakistan,2020,1
"71,697,030",304181,Thailand,2020,1
"5,637,022",302591,Singapore,2020,1
"51,874,024",281269,Colombia,2020,1
"46,234,830",280922,Argentina,2020,1
"9,550,600",252164,Israel,2020,1
"110,990,103",236751,Egypt,2020,1
"33,938,221",230371,Malaysia,2020,1
"8,769,741",218096,Switzerland,2020,1
"18,956,666",216516,Romania,2020,1
"11,669,446",215927,Belgium,2020,1
"171,186,372",215789,Bangladesh,2020,1
"88,550,570",210145,Iran,2020,1
"59,893,885",202767,South Africa,2020,1
"5,903,037",177756,Denmark,2020,1
"218,541,212",173641,Nigeria,2020,1
"10,379,007",170627,Portugal,2020,1
"36,408,820",166866,Saudi Arabia,2020,1
"19,603,733",161209,Chile,2020,1
"5,457,127",158784,Norway,2020,1
"10,526,073",155721,Czech Republic,2020,1
"34,049,588",150672,Peru,2020,1
"9,208,701",148529,Belarus,2020,1
"9,042,528",148081,Austria,2020,1
"5,086,988",145859,Republic of Ireland,2020,1
"5,556,880",145464,Finland,2020,1
"37,457,971",142405,Morocco,2020,1
"5,124,100",139125,New Zealand,2020,1
"9,683,505",134568,Hungary,2020,1
"10,566,531",114553,Greece,2020,1
"6,465,097",105264,Bulgaria,2020,1
"6,760,087",96769,Serbia,2020,1
"9,441,129",95190,United Arab Emirates,2020,1
"44,903,225",91819,Algeria,2020,1
"54,027,487",90770,Kenya,2020,1
"12,356,117",88631,Tunisia,2020,1
"22,181,000",84292,Sri Lanka,2020,1
"28,301,696",83817,Venezuela,2020,1
"18,001,000",70527,Ecuador,2020,1
"19,621,972",69649,Kazakhstan,2020,1
"30,547,580",69284,Nepal,2020,1
"3,854,000",58042,Croatia,2020,1
"2,833,000",56617,Lithuania,2020,1
"5,431,752",55554,Slovakia,2020,1
"5,180,829",52221,Costa Rica,2020,1
"44,496,122",51669,Iraq,2020,1
"54,179,306",46306,Myanmar,2020,1
"33,475,870",42569,Ghana,2020,1
"1,344,768",40432,Estonia,2020,1
"2,108,732",38214,Slovenia,2020,1
"11,228,821",38046,Dominican Republic,2020,1
"11,285,869",37209,Jordan,2020,1
"12,224,110",37160,Bolivia,2020,1
"1,883,379",36586,Latvia,2020,1
"3,422,794",35715,Uruguay,2020,1
"17,357,886",34807,Guatemala,2020,1
"2,780,469",31298,Armenia,2020,1
"16,767,842",31034,Cambodia,2020,1
"5,489,739",30963,Lebanon,2020,1
"3,712,502",29777,Georgia,2020,1
"2,775,634",28833,Albania,2020,1
"3,233,526",28503,Bosnia and Herzegovina,2020,1
"2,592,477",27810,Moldova,2020,1
"6,336,392",25900,El Salvador,2020,1
"10,175,016",25130,Azerbaijan,2020,1
"35,648,100",24575,Uzbekistan,2020,1
"123,379,924",23109,Ethiopia,2020,1
"2,057,679",22923,North Macedonia,2020,1
"4,268,873",21059,Kuwait,2020,1
"47,249,585",21053,Uganda,2020,1
"3,221,789",18720,Puerto Rico,2020,1
"2,695,122",18205,Qatar,2020,1
"27,914,536",17469,Cameroon,2020,1
"65,497,748",17267,Tanzania,2020,1
"4,408,581",16613,Panama,2020,1
"28,160,542",16280,Ivory Coast,2020,1
"10,432,860",16225,Honduras,2020,1
"650,774",15981,Luxembourg,2020,1
"381,900",15189,Iceland,2020,1
"6,780,744",14587,Paraguay,2020,1
"22,125,249",14515,Syria,2020,1
"6,803,300",14440,Kyrgyzstan,2020,1
"1,251,488",14138,Cyprus,2020,1
"3,398,366",14085,Mongolia,2020,1
"17,316,449",13736,Senegal,2020,1
"16,320,537",13270,Zimbabwe,2020,1
"4,576,298",13043,Oman,2020,1
"11,212,191",12998,Cuba,2020,1
"523,417",12791,Malta,2020,1
"33,696,614",12584,Yemen,2020,1
"6,948,392",11994,Nicaragua,2020,1
"2,827,377",11149,Jamaica,2020,1
"46,874,204",11010,Sudan,2020,1
"1,262,523",10812,Mauritius,2020,1
"29,611,714",10105,Madagascar,2020,1
"13,776,698",9848,Rwanda,2020,1
"1,472,233",9381,Bahrain,2020,1
"6,812,341",9125,Libya,2020,1
"1,531,044",8522,Trinidad and Tobago,2020,1
"695,168",8400,Macau,2020,1
"35,588,987",7156,Angola,2020,1
"20,017,675",6964,Zambia,2020,1
"41,128,771",6481,Afghanistan,2020,1
"13,352,864",6329,Benin,2020,1
"896,175",5871,Réunion,2020,1
"7,529,475",5787,Laos,2020,1
"32,969,518",5748,Mozambique,2020,1
"95,894,118",5406,Democratic Republic of the Congo,2020,1
"17,597,511",5156,Somalia,2020,1
"8,848,699",5107,Togo,2020,1
"616,159",4978,Montenegro,2020,1
"11,584,996",4347,Haiti,2020,1
"2,630,296",4327,Botswana,2020,1
"449,002",3960,Brunei,2020,1
"523,787",3770,Maldives,2020,1
"20,405,317",3510,Malawi,2020,1
