"Gross domestic spending on R&amp;D"
"% of GDP, 2013"
"Category","% of GDP"
"Israel",4.106483288
"Korea",3.774874742
"Finland",3.284618446
"Japan",3.27895603
"Sweden",3.275579136
"Austria",2.979928104
"Denmark",2.961460348
"Germany",2.781443017
"United States",2.695915799
"Slovenia",2.594263973
"Belgium",2.320470036
"France",2.233688191
"Netherlands",2.139529153
"Australia",2.092841203
"Czechia",1.867430573
"Canada",1.706245298
"Estonia",1.701407219
"Iceland",1.679952576
"Norway",1.642158536
"United Kingdom",1.620957234
"Ireland",1.538002917
"Hungary",1.384489132
"Portugal",1.32325322
"Italy",1.294245891
"Spain",1.268636731
"Luxembourg",1.233806915
"New Zealand",1.152746413
"Lithuania",0.953219425
"Poland",0.880698609
"Greece",0.822883574
"Slovak Rep.",0.818400747
"Türkiye",0.812059898
"Latvia",0.635356047
"Mexico",0.408060684
"Chile",0.390304812
"Colombia",0.257607233
