"Gross domestic spending on R&amp;D"
"Million US dollars, PPP converted, 2022"
"Category","Million US dollars, PPP converted"
"United States",809627.6778
"China",717915.1397
"Japan",188830.8444
"Germany",157189.6306
"Korea",129298.7099
"United Kingdom",100849.4011
"France",81547.80337
"Italy",41184.58453
"Canada",38960.7925
"Türkiye",37221.75343
"Spain",29681.58447
"Israel",27104.16576
"Netherlands",26503.888
"Belgium",22916.01171
"Poland",22575.88887
"Sweden",22170.0089
"Austria",18295.19775
"Singapore",12150.73782
"Denmark",11262.01752
"Czechia",9704.421396
"Ireland",9431.09559
"Finland",9092.169364
"Norway",8544.59848
"Portugal",7070.56316
"Argentina",6461.186859
"Greece",5362.419082
"Hungary",5349.760969
"South Africa",5040.529868
"Romania",3363.721537
"Chile",2189.19284
"Croatia",2120.591627
"Slovenia",2053.596191
"Slovak Rep.",1999.942143
"Bulgaria",1511.725746
"Lithuania",1331.82602
"Estonia",1022.164716
"Luxembourg",866.9728944
"Iceland",608.6380565
"Latvia",550.2285204
"South Africa",5040.5
