population (millions) ,country,field,num_patent_applications,num_patent_granted
"46,234,830",Argentina,All,56,25
"46,234,830",Argentina,Machine_Learning,44,20
"25,978,935",Australia,Industrial_and_Manufacturing,274,197
"25,978,935",Australia,Knowledge_Representation,187,138
"25,978,935",Australia,Generic_and_Unspecified,959,606
"25,978,935",Australia,Agricultural,237,172
"25,978,935",Australia,Fuzzy_Logic,92,83
"25,978,935",Australia,Speech_Processing,140,106
"25,978,935",Australia,Transportation,219,183
"25,978,935",Australia,Telecommunications,813,605
"25,978,935",Australia,Logic_Programming,355,265
"25,978,935",Australia,Personal_Devices_and_Computing,1658,1263
"25,978,935",Australia,Probabilistic_Reasoning,261,180
"25,978,935",Australia,Banking_and_Finance,263,176
"25,978,935",Australia,Ontology_Engineering,90,70
"25,978,935",Australia,Energy_Management,168,125
"25,978,935",Australia,Control,472,361
"25,978,935",Australia,Machine_Learning,3652,2494
"25,978,935",Australia,Planning_and_Scheduling,487,305
"25,978,935",Australia,Life_Sciences,1703,982
"25,978,935",Australia,Physical_Sciences_and_Engineering,296,207
"25,978,935",Australia,Security__eg_cybersecurity,376,284
"25,978,935",Australia,Business,651,413
"25,978,935",Australia,Computer_Vision,1144,831
"25,978,935",Australia,Analytics_and_Algorithms,816,497
"25,978,935",Australia,All,4721,3212
"25,978,935",Australia,Measuring_and_Testing,737,503
"9,042,528",Austria,Energy_Management,23,15
"9,042,528",Austria,All,84,62
"9,042,528",Austria,Measuring_and_Testing,26,20
"9,042,528",Austria,Transportation,28,21
"9,042,528",Austria,Machine_Learning,74,54
"9,042,528",Austria,Personal_Devices_and_Computing,26,20
"11,669,446",Belgium,All,40,35
"215,313,498",Brazil,Personal_Devices_and_Computing,267,205
"215,313,498",Brazil,Logic_Programming,75,50
"215,313,498",Brazil,Planning_and_Scheduling,87,57
"215,313,498",Brazil,Knowledge_Representation,32,20
"215,313,498",Brazil,Probabilistic_Reasoning,45,32
"215,313,498",Brazil,Banking_and_Finance,33,24
"215,313,498",Brazil,Machine_Learning,600,439
"215,313,498",Brazil,Physical_Sciences_and_Engineering,80,52
"215,313,498",Brazil,Generic_and_Unspecified,180,110
"215,313,498",Brazil,Computer_Vision,198,160
"215,313,498",Brazil,Analytics_and_Algorithms,111,76
"215,313,498",Brazil,Measuring_and_Testing,197,144
"215,313,498",Brazil,All,797,551
"215,313,498",Brazil,Speech_Processing,27,18
"215,313,498",Brazil,Business,106,68
"215,313,498",Brazil,Energy_Management,24,14
"215,313,498",Brazil,Security__eg_cybersecurity,32,25
"215,313,498",Brazil,Agricultural,94,67
"215,313,498",Brazil,Life_Sciences,244,168
"215,313,498",Brazil,Transportation,79,66
"215,313,498",Brazil,Control,127,98
"215,313,498",Brazil,Industrial_and_Manufacturing,65,52
"215,313,498",Brazil,Telecommunications,142,98
"6,465,097",Bulgaria,All,56,51
"38,929,902",Canada,Analytics_and_Algorithms,811,459
"38,929,902",Canada,All,4665,2655
"38,929,902",Canada,Knowledge_Representation,225,141
"38,929,902",Canada,Energy_Management,125,75
"38,929,902",Canada,Industrial_and_Manufacturing,299,203
"38,929,902",Canada,Computer_Vision,1070,736
"38,929,902",Canada,Banking_and_Finance,303,160
"38,929,902",Canada,Ontology_Engineering,93,55
"38,929,902",Canada,Control,467,328
"38,929,902",Canada,Probabilistic_Reasoning,298,173
"38,929,902",Canada,Physical_Sciences_and_Engineering,373,216
"38,929,902",Canada,Speech_Processing,128,76
"38,929,902",Canada,Telecommunications,770,528
"38,929,902",Canada,Logic_Programming,461,309
"38,929,902",Canada,Transportation,285,223
"38,929,902",Canada,Agricultural,188,116
"38,929,902",Canada,Personal_Devices_and_Computing,1726,1167
"38,929,902",Canada,Measuring_and_Testing,776,483
"38,929,902",Canada,Security__eg_cybersecurity,305,196
"38,929,902",Canada,Life_Sciences,1657,851
"38,929,902",Canada,Generic_and_Unspecified,1010,506
"38,929,902",Canada,Machine_Learning,3589,2115
"38,929,902",Canada,Planning_and_Scheduling,542,285
"38,929,902",Canada,Business,741,378
"38,929,902",Canada,Fuzzy_Logic,46,26
"1,412,175,000",China,Generic_and_Unspecified,107113,53690
"1,412,175,000",China,Business,71497,26750
"1,412,175,000",China,Transportation,48527,26104
"1,412,175,000",China,Ontology_Engineering,41011,19367
"1,412,175,000",China,Measuring_and_Testing,46856,22091
"1,412,175,000",China,Banking_and_Finance,14098,4036
"1,412,175,000",China,Industrial_and_Manufacturing,37555,18308
"1,412,175,000",China,Machine_Learning,474957,218870
"1,412,175,000",China,Physical_Sciences_and_Engineering,18624,8714
"1,412,175,000",China,Personal_Devices_and_Computing,281139,133053
"1,412,175,000",China,Probabilistic_Reasoning,33402,16290
"1,412,175,000",China,All,599182,273154
"1,412,175,000",China,Knowledge_Representation,13383,5072
"1,412,175,000",China,Analytics_and_Algorithms,47984,21836
"1,412,175,000",China,Speech_Processing,17169,8108
"1,412,175,000",China,Planning_and_Scheduling,58411,22296
"1,412,175,000",China,Security__eg_cybersecurity,21557,8754
"1,412,175,000",China,Energy_Management,39423,15536
"1,412,175,000",China,Fuzzy_Logic,10052,4462
"1,412,175,000",China,Control,21006,11161
"1,412,175,000",China,Computer_Vision,100423,51377
"1,412,175,000",China,Life_Sciences,43238,18283
"1,412,175,000",China,Telecommunications,50756,24897
"1,412,175,000",China,Logic_Programming,25731,10001
"1,412,175,000",China,Agricultural,9166,4102
"5,903,037",Denmark,Personal_Devices_and_Computing,41,40
"5,903,037",Denmark,Measuring_and_Testing,28,24
"5,903,037",Denmark,Life_Sciences,48,42
"5,903,037",Denmark,Control,32,31
"5,903,037",Denmark,All,137,125
"5,903,037",Denmark,Machine_Learning,110,100
"5,903,037",Denmark,Analytics_and_Algorithms,31,27
"5,903,037",Denmark,Computer_Vision,34,33
"5,556,880",Finland,Analytics_and_Algorithms,73,49
