ai_concept,Country/territory,Country/territory_label,impact_level,pub_type,publications,year
All AI research,CHN,China (People's Republic of),All works,All publication types,5.06296239784711,2000
All AI research,CHN,China (People's Republic of),All works,All publication types,6.529995730458041,2001
All AI research,CHN,China (People's Republic of),All works,All publication types,6.710933152005132,2002
All AI research,CHN,China (People's Republic of),All works,All publication types,9.42559435831158,2003
All AI research,CHN,China (People's Republic of),All works,All publication types,15.306596655755191,2004
All AI research,CHN,China (People's Republic of),All works,All publication types,18.059792112522246,2005
All AI research,CHN,China (People's Republic of),All works,All publication types,22.57939646766177,2006
All AI research,CHN,China (People's Republic of),All works,All publication types,25.06843126444129,2007
All AI research,CHN,China (People's Republic of),All works,All publication types,27.331868307999805,2008
All AI research,CHN,China (People's Republic of),All works,All publication types,28.133628808746625,2009
All AI research,CHN,China (People's Republic of),All works,All publication types,27.885223723642717,2010
All AI research,CHN,China (People's Republic of),All works,All publication types,25.335134565519567,2011
All AI research,CHN,China (People's Republic of),All works,All publication types,22.087369929568638,2012
All AI research,CHN,China (People's Republic of),All works,All publication types,20.82276872345882,2013
All AI research,CHN,China (People's Republic of),All works,All publication types,19.17779001169197,2014
All AI research,CHN,China (People's Republic of),All works,All publication types,17.21357316709819,2015
All AI research,CHN,China (People's Republic of),All works,All publication types,15.816977557276758,2016
All AI research,CHN,China (People's Republic of),All works,All publication types,16.737961302968575,2017
All AI research,CHN,China (People's Republic of),All works,All publication types,19.350310525983147,2018
All AI research,CHN,China (People's Republic of),All works,All publication types,21.10422821167963,2019
All AI research,CHN,China (People's Republic of),All works,All publication types,21.681773326012724,2020
All AI research,CHN,China (People's Republic of),All works,All publication types,24.34944144084157,2021
All AI research,CHN,China (People's Republic of),All works,All publication types,28.59642604585999,2022
All AI research,CHN,China (People's Republic of),All works,All publication types,28.844263590762097,2023
All AI research,CHN,China (People's Republic of),All works,All publication types,30.697636578555326,2024
All AI research,CHN,China (People's Republic of),All works,All publication types,18.014530281094395,2025
All AI research,CHN,China (People's Republic of),All works,All publication types,32.43123821700347,2026
All AI research,USA,United States,All works,All publication types,27.152679453090627,2000
All AI research,USA,United States,All works,All publication types,26.117315098076233,2001
All AI research,USA,United States,All works,All publication types,30.168505851946943,2002
All AI research,USA,United States,All works,All publication types,28.740940127804908,2003
All AI research,USA,United States,All works,All publication types,21.951769300103244,2004
All AI research,USA,United States,All works,All publication types,22.76534235660078,2005
All AI research,USA,United States,All works,All publication types,18.50846570915007,2006
All AI research,USA,United States,All works,All publication types,17.66237049126295,2007
All AI research,USA,United States,All works,All publication types,15.464149518948968,2008
All AI research,USA,United States,All works,All publication types,15.732329671895878,2009
All AI research,USA,United States,All works,All publication types,15.031563543065166,2010
All AI research,USA,United States,All works,All publication types,15.572723729692674,2011
All AI research,USA,United States,All works,All publication types,15.032907305646413,2012
All AI research,USA,United States,All works,All publication types,14.874673873121575,2013
All AI research,USA,United States,All works,All publication types,14.435510974671972,2014
All AI research,USA,United States,All works,All publication types,15.327672180176142,2015
All AI research,USA,United States,All works,All publication types,15.526378091130596,2016
All AI research,USA,United States,All works,All publication types,16.063103083519604,2017
All AI research,USA,United States,All works,All publication types,16.95039817406737,2018
All AI research,USA,United States,All works,All publication types,17.437962299442567,2019
All AI research,USA,United States,All works,All publication types,17.726133289224784,2020
All AI research,USA,United States,All works,All publication types,16.195206048931038,2021
All AI research,USA,United States,All works,All publication types,12.535040451899405,2022
All AI research,USA,United States,All works,All publication types,12.181553678359696,2023
All AI research,USA,United States,All works,All publication types,11.340336880882885,2024
All AI research,USA,United States,All works,All publication types,9.508883595002045,2025
All AI research,USA,United States,All works,All publication types,11.000233781422423,2026
All AI research,JPN,Japan,All works,All publication types,8.638919569980434,2000
All AI research,JPN,Japan,All works,All publication types,8.43145603815107,2001
All AI research,JPN,Japan,All works,All publication types,10.90230951616843,2002
All AI research,JPN,Japan,All works,All publication types,9.999501689901674,2003
All AI research,JPN,Japan,All works,All publication types,9.025564031378591,2004
All AI research,JPN,Japan,All works,All publication types,8.882720403943733,2005
All AI research,JPN,Japan,All works,All publication types,7.279250278695194,2006
All AI research,JPN,Japan,All works,All publication types,6.143790635823437,2007
All AI research,JPN,Japan,All works,All publication types,6.5784659250434565,2008
All AI research,JPN,Japan,All works,All publication types,5.773031180020857,2009
All AI research,JPN,Japan,All works,All publication types,5.7648342792391425,2010
All AI research,JPN,Japan,All works,All publication types,5.3794621496355886,2011
All AI research,JPN,Japan,All works,All publication types,5.616932464676013,2012
All AI research,JPN,Japan,All works,All publication types,5.469481019806325,2013
All AI research,JPN,Japan,All works,All publication types,4.8731181833959605,2014
All AI research,JPN,Japan,All works,All publication types,4.689970955905866,2015
All AI research,JPN,Japan,All works,All publication types,5.266555464928649,2016
All AI research,JPN,Japan,All works,All publication types,4.734687624937117,2017
All AI research,JPN,Japan,All works,All publication types,4.382480349544835,2018
All AI research,JPN,Japan,All works,All publication types,3.8742555429236663,2019
All AI research,JPN,Japan,All works,All publication types,3.602936577964347,2020
All AI research,JPN,Japan,All works,All publication types,3.064865626804479,2021
All AI research,JPN,Japan,All works,All publication types,2.817949623444734,2022
All AI research,JPN,Japan,All works,All publication types,2.809763070848856,2023
All AI research,JPN,Japan,All works,All publication types,2.8003459945346467,2024
All AI research,JPN,Japan,All works,All publication types,35.413520780962095,2025
All AI research,JPN,Japan,All works,All publication types,1.498247300953284,2026
All AI research,GBR,United Kingdom,All works,All publication types,8.044267726932928,2000
All AI research,GBR,United Kingdom,All works,All publication types,8.066157360414818,2001
All AI research,GBR,United Kingdom,All works,All publication types,5.765071147339825,2002
All AI research,GBR,United Kingdom,All works,All publication types,6.293062610280938,2003
All AI research,GBR,United Kingdom,All works,All publication types,5.695835911584861,2004
All AI research,GBR,United Kingdom,All works,All publication types,5.167347771569939,2005
All AI research,GBR,United Kingdom,All works,All publication types,5.142664790548814,2006
All AI research,GBR,United Kingdom,All works,All publication types,5.145509181986351,2007
All AI research,GBR,United Kingdom,All works,All publication types,4.8817044442271955,2008
All AI research,GBR,United Kingdom,All works,All publication types,4.309375920033711,2009
All AI research,GBR,United Kingdom,All works,All publication types,4.0004179613485755,2010
All AI research,GBR,United Kingdom,All works,All publication types,3.972276211771952,2011
All AI research,GBR,United Kingdom,All works,All publication types,3.755962353989978,2012
All AI research,GBR,United Kingdom,All works,All publication types,4.305126127534423,2013
All AI research,GBR,United Kingdom,All works,All publication types,4.156729281688798,2014
All AI research,GBR,United Kingdom,All works,All publication types,4.340503937156561,2015
All AI research,GBR,United Kingdom,All works,All publication types,4.199440403964532,2016
All AI research,GBR,United Kingdom,All works,All publication types,3.9322292594528676,2017
All AI research,GBR,United Kingdom,All works,All publication types,3.7947042737277608,2018
All AI research,GBR,United Kingdom,All works,All publication types,3.973755009954051,2019
All AI research,GBR,United Kingdom,All works,All publication types,3.9989470101308764,2020
All AI research,GBR,United Kingdom,All works,All publication types,3.6991691457758438,2021
All AI research,GBR,United Kingdom,All works,All publication types,2.9524218219214835,2022
All AI research,GBR,United Kingdom,All works,All publication types,3.389285275070809,2023
All AI research,GBR,United Kingdom,All works,All publication types,3.4897282178215216,2024
All AI research,GBR,United Kingdom,All works,All publication types,2.5742864205781872,2025
All AI research,GBR,United Kingdom,All works,All publication types,3.6924945360277857,2026
All AI research,DEU,Germany,All works,All publication types,6.579329926736038,2000
All AI research,DEU,Germany,All works,All publication types,6.887119532524298,2001
All AI research,DEU,Germany,All works,All publication types,4.951257341215064,2002
All AI research,DEU,Germany,All works,All publication types,4.225696004757724,2003
All AI research,DEU,Germany,All works,All publication types,4.766005609574107,2004
All AI research,DEU,Germany,All works,All publication types,4.269398342359885,2005
All AI research,DEU,Germany,All works,All publication types,3.974499011316118,2006
All AI research,DEU,Germany,All works,All publication types,4.175042697832514,2007
All AI research,DEU,Germany,All works,All publication types,4.299009605793387,2008
All AI research,DEU,Germany,All works,All publication types,4.5595268635704915,2009
All AI research,DEU,Germany,All works,All publication types,4.673654841379003,2010
All AI research,DEU,Germany,All works,All publication types,4.547890779030768,2011
All AI research,DEU,Germany,All works,All publication types,5.215534720316402,2012
All AI research,DEU,Germany,All works,All publication types,4.873969321825705,2013
All AI research,DEU,Germany,All works,All publication types,4.958386864447499,2014
All AI research,DEU,Germany,All works,All publication types,4.680699805606955,2015
All AI research,DEU,Germany,All works,All publication types,4.760809905508252,2016
All AI research,DEU,Germany,All works,All publication types,4.520006888305596,2017
All AI research,DEU,Germany,All works,All publication types,4.654657659577096,2018
All AI research,DEU,Germany,All works,All publication types,4.423383986758221,2019
All AI research,DEU,Germany,All works,All publication types,4.182843724469959,2020
All AI research,DEU,Germany,All works,All publication types,4.129423738540197,2021
All AI research,DEU,Germany,All works,All publication types,3.7496689486985377,2022
All AI research,DEU,Germany,All works,All publication types,3.651573777906918,2023
All AI research,DEU,Germany,All works,All publication types,3.245406981621031,2024
All AI research,DEU,Germany,All works,All publication types,2.6455691198790117,2025
All AI research,DEU,Germany,All works,All publication types,3.155180178890072,2026
All AI research,FRA,France,All works,All publication types,4.603112136885658,2000
All AI research,FRA,France,All works,All publication types,4.057942083522959,2001
All AI research,FRA,France,All works,All publication types,3.8031964963316085,2002
All AI research,FRA,France,All works,All publication types,3.6669810793035404,2003
All AI research,FRA,France,All works,All publication types,3.889826707298736,2004
All AI research,FRA,France,All works,All publication types,4.193855862026382,2005
All AI research,FRA,France,All works,All publication types,3.6794991596700815,2006
All AI research,FRA,France,All works,All publication types,4.102307261570645,2007
All AI research,FRA,France,All works,All publication types,4.2499785052357595,2008
All AI research,FRA,France,All works,All publication types,3.9942843269488453,2009
All AI research,FRA,France,All works,All publication types,3.770074496420374,2010
All AI research,FRA,France,All works,All publication types,3.9504855292638896,2011
All AI research,FRA,France,All works,All publication types,3.870195036463043,2012
All AI research,FRA,France,All works,All publication types,4.219011950710882,2013
All AI research,FRA,France,All works,All publication types,4.341885364915804,2014
All AI research,FRA,France,All works,All publication types,4.419926773240568,2015
All AI research,FRA,France,All works,All publication types,3.9726920579414067,2016
All AI research,FRA,France,All works,All publication types,3.399816298569755,2017
All AI research,FRA,France,All works,All publication types,3.0596755657798886,2018
All AI research,FRA,France,All works,All publication types,2.931177213932916,2019
All AI research,FRA,France,All works,All publication types,2.510652700220099,2020
All AI research,FRA,France,All works,All publication types,2.4156843071019702,2021
All AI research,FRA,France,All works,All publication types,2.4168332929605802,2022
All AI research,FRA,France,All works,All publication types,2.3432541073370983,2023
All AI research,FRA,France,All works,All publication types,2.3200002947334495,2024
All AI research,FRA,France,All works,All publication types,1.046949420833675,2025
All AI research,FRA,France,All works,All publication types,0.8218400567864944,2026
All AI research,ESP,Spain,All works,All publication types,3.123196406943826,2000
All AI research,ESP,Spain,All works,All publication types,3.8967405176968497,2001
All AI research,ESP,Spain,All works,All publication types,2.4149572551484138,2002
All AI research,ESP,Spain,All works,All publication types,2.930598293241788,2003
All AI research,ESP,Spain,All works,All publication types,3.4976168351765957,2004
All AI research,ESP,Spain,All works,All publication types,2.846098762682679,2005
All AI research,ESP,Spain,All works,All publication types,3.375381824950748,2006
All AI research,ESP,Spain,All works,All publication types,3.3798333175779294,2007
All AI research,ESP,Spain,All works,All publication types,2.752451938731623,2008
All AI research,ESP,Spain,All works,All publication types,3.1984092234678805,2009
All AI research,ESP,Spain,All works,All publication types,3.0306842181442595,2010
All AI research,ESP,Spain,All works,All publication types,3.4297477285361655,2011
All AI research,ESP,Spain,All works,All publication types,2.7536586026692706,2012
All AI research,ESP,Spain,All works,All publication types,2.7930003650817112,2013
All AI research,ESP,Spain,All works,All publication types,2.5874563249156917,2014
All AI research,ESP,Spain,All works,All publication types,2.5203481738793605,2015
All AI research,ESP,Spain,All works,All publication types,2.1060633033581015,2016
All AI research,ESP,Spain,All works,All publication types,2.0432648645005953,2017
All AI research,ESP,Spain,All works,All publication types,1.7409056618176508,2018
All AI research,ESP,Spain,All works,All publication types,1.7243622437066146,2019
All AI research,ESP,Spain,All works,All publication types,1.416083197807891,2020
All AI research,ESP,Spain,All works,All publication types,1.3023399802482742,2021
All AI research,ESP,Spain,All works,All publication types,1.3698196553340876,2022
All AI research,ESP,Spain,All works,All publication types,1.2457633391064828,2023
All AI research,ESP,Spain,All works,All publication types,1.2266457503058763,2024
All AI research,ESP,Spain,All works,All publication types,0.8317474420301504,2025
All AI research,ESP,Spain,All works,All publication types,1.2951141758053755,2026
All AI research,CAN,Canada,All works,All publication types,3.3987879885859837,2000
All AI research,CAN,Canada,All works,All publication types,3.39450478616996,2001
All AI research,CAN,Canada,All works,All publication types,3.941772340257201,2002
All AI research,CAN,Canada,All works,All publication types,3.536646834072202,2003
All AI research,CAN,Canada,All works,All publication types,3.048802303589665,2004
All AI research,CAN,Canada,All works,All publication types,3.198892454144829,2005
All AI research,CAN,Canada,All works,All publication types,2.855436421402552,2006
All AI research,CAN,Canada,All works,All publication types,2.6835553389658147,2007
All AI research,CAN,Canada,All works,All publication types,2.315462046274587,2008
All AI research,CAN,Canada,All works,All publication types,2.187795079634525,2009
All AI research,CAN,Canada,All works,All publication types,2.2332352055425684,2010
All AI research,CAN,Canada,All works,All publication types,2.1319945195100263,2011
