Country,pop,Number of Universities in Top 100,Num per capita
United Kingdom,"66,971,411",7,1.04522E-07
Switzerland,"8,769,741",2,2.28057E-07
United States,"333,287,557",33,9.90136E-08
China,"1,412,175,000",10,7.08128E-09
Singapore,"5,637,022",2,3.54797E-07
Germany,"84,079,811",7,8.32542E-08
Canada,"38,929,902",6,1.54123E-07
Hong Kong,"7,346,100",5,6.80633E-07
South Korea,"51,628,117",5,9.68465E-08
Japan,"125,124,989",4,3.1968E-08
France,"67,749,632",4,5.90409E-08
Netherlands,"17,942,942",3,1.67197E-07
Belgium,"11,669,446",1,8.56939E-08
Australia,"25,978,935",7,2.69449E-07
Sweden,"10,486,941",1,9.53567E-08
Austria,"9,042,528",1,1.10589E-07
Finland,"5,556,880",1,1.79957E-07
Denmark,"5,903,037",2,3.38809E-07
India,"1,417,173,173",1,7.0563E-10
